期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
7001,22,24,29,31,35,4,11
7002,15,22,31,34,35,5,12
7003,3,4,18,23,32,1,6
7004,6,10,16,17,25,2,4
7005,1,9,19,20,30,2,11
7006,1,16,20,23,28,3,6
7007,14,16,25,26,35,4,9
7008,2,8,11,21,23,4,7
7009,1,3,9,19,34,9,12
7010,6,8,18,29,34,9,11
7011,29,32,33,34,35,9,10
7012,3,12,15,29,34,7,11
7013,12,17,27,29,34,6,9
7014,1,2,7,29,32,6,7
7015,2,8,12,13,17,11,12
7016,1,14,19,24,31,3,12
7017,13,14,29,32,34,3,12
7018,3,4,16,23,28,6,9
7019,3,6,17,22,23,4,6
7020,2,6,11,12,18,5,12
7021,2,4,24,29,33,1,2
7022,8,10,12,23,25,3,10
7023,8,10,23,32,34,8,10
7024,6,16,20,25,31,4,9
7025,22,24,26,27,34,2,10
7026,5,9,13,33,35,1,8
7027,2,3,10,19,27,6,10
7028,20,26,30,34,35,3,10
7029,15,22,25,29,35,9,11
7030,11,14,27,33,35,2,7
7031,3,21,27,31,32,6,8
7032,1,13,21,23,32,4,11
7033,1,5,8,14,22,3,12
7034,6,8,11,13,22,2,11
7035,7,11,16,31,32,1,12
7036,15,18,21,27,34,1,2
7037,1,6,7,17,31,11,12
7038,6,21,25,27,32,8,9
7039,10,11,20,21,35,7,11
7040,5,21,25,28,35,1,4
7041,3,16,17,22,35,1,8
7042,7,10,22,31,35,5,6
7043,4,9,22,24,31,2,6
7044,4,5,7,12,26,1,10
7045,9,16,20,26,35,11,12
7046,4,16,18,23,30,1,10
7047,1,6,15,19,35,2,9
7048,8,25,26,29,35,6,8
7049,9,10,15,17,32,4,6
7050,13,21,22,30,35,1,11
7051,3,7,24,28,35,8,11
7052,1,14,29,32,33,5,10
7053,11,16,19,21,25,1,10
7054,4,10,19,29,34,3,6
7055,10,16,24,31,33,7,10
7056,4,11,17,20,21,5,9
7057,14,16,30,32,35,6,7
7058,8,21,25,28,33,2,6
7059,4,15,23,31,33,3,9
7060,12,13,29,30,31,4,7
7061,2,10,19,28,29,2,9
7062,1,4,10,14,29,11,12
7063,10,31,33,34,35,7,12
7064,2,16,32,33,35,5,10
7065,19,20,24,29,31,9,10
7066,4,7,8,19,24,7,12
7067,11,18,25,30,31,4,9
7068,4,9,13,14,33,6,10
7069,2,13,16,21,35,1,5
7070,7,26,29,30,35,3,4
7071,10,22,32,33,35,1,7
7072,21,24,26,27,33,1,5
7073,4,5,9,12,23,2,11
7074,16,17,23,24,31,5,10
7075,5,11,20,30,32,7,11
7076,2,9,12,15,31,9,10
7077,4,6,12,13,24,1,4
7078,9,12,14,22,23,1,2
7079,6,9,25,26,31,2,8
7080,1,15,20,25,27,5,10
7081,6,18,20,22,35,4,9
7082,3,5,14,33,34,7,8
7083,1,5,20,21,24,3,4
7084,5,11,18,29,34,10,11
7085,17,24,28,29,33,2,5
7086,14,18,19,26,28,3,9
7087,8,18,30,31,33,4,9
7088,17,18,21,23,33,6,10
7089,8,13,24,30,34,1,12
7090,4,20,24,31,33,9,12
7091,7,12,26,31,32,3,8
7092,6,19,27,28,29,6,10
7093,6,8,16,25,27,8,12
8001,1,2,11,34,35,3,10
8002,1,12,24,31,32,10,12
8003,1,11,13,32,35,2,7
8004,9,22,24,31,33,8,9
8005,18,25,29,31,34,9,10
8006,10,12,26,29,34,5,7
8007,3,4,5,12,28,3,12
8008,2,6,8,17,32,8,9
8009,4,8,12,24,30,5,8
8010,6,23,24,27,29,6,8
8011,14,20,22,24,27,7,10
8012,2,10,29,32,35,2,3
8013,1,11,19,22,35,5,9
8014,4,7,10,28,34,1,6
8015,9,18,20,27,33,6,9
8016,8,10,11,17,19,6,9
8017,2,14,25,29,32,1,6
8018,3,6,7,11,30,2,3
8019,8,24,25,29,31,4,5
8020,4,5,15,17,33,4,8
